STATO        | ROOM            | FILE                           | TARGET ID
NEW          | galleria_armi   | trigger_armatura1_1.jpg        | galleria_armi_armatura_1_armatura1_1
NEW          | galleria_armi   | trigger_armatura1_2.jpg        | galleria_armi_armatura_1_armatura1_2
NEW          | galleria_armi   | trigger_armatura1_3.jpg        | galleria_armi_armatura_1_armatura1_3
NEW          | galleria_cupola | trigger_stanza_museo_2.jpeg    | galleria_cupola_stanza_stanza_museo_2
NEW          | galleria_cupola | trigger_stanza_museo_1.jpeg    | galleria_cupola_stanza_stanza_museo_1
NEW          | galleria_cupola | trigger_stanza_museo.jpeg      | galleria_cupola_stanza_stanza_museo
NEW          | galleria_cupola | trigger_stanza_qr.jpg          | galleria_cupola_stanza_stanza_qr
NEW          | galleria_cupola | trigger_candelabro_museo_1.jpeg | galleria_cupola_candelabro_candelabro_museo_1
NEW          | galleria_cupola | trigger_candelabri_1.jpg       | galleria_cupola_candelabro_candelabri_1
NEW          | galleria_cupola | trigger_candelabri.jpg         | galleria_cupola_candelabro_candelabri
NEW          | galleria_cupola | trigger_candelabri_qr.jpg      | galleria_cupola_candelabro_candelabri_qr
NEW          | galleria_cupola | trigger_candelabro_museo.jpeg  | galleria_cupola_candelabro_candelabro_museo
NEW          | galleria_cupola | trigger_portiera_qr.jpg        | galleria_cupola_portiera_portiera_qr
NEW          | galleria_cupola | trigger_portiera_1.jpg         | galleria_cupola_portiera_portiera_1
NEW          | galleria_cupola | trigger_portiera_2.jpg         | galleria_cupola_portiera_portiera_2
NEW          | labirinto       | trigger_labirinto_museo.jpeg   | labirinto_labirinto_museo
NEW          | labirinto       | trigger_labirinto_qr.jpg       | labirinto_labirinto_qr
NEW          | labirinto       | trigger_labirinto_museo_1.jpeg | labirinto_labirinto_museo_1
NEW          | labirinto       | trigger_labirinto_museo_2.jpeg | labirinto_labirinto_museo_2
NEW          | labirinto       | trigger_labirinto_1.jpg        | labirinto_labirinto_1
NEW          | labirinto       | trigger_labirinto_2.jpg        | labirinto_labirinto_2
NEW          | sala_affresco   | trigger_capitello_museo_1.jpeg | sala_affresco_capitello_capitello_museo_1
NEW          | sala_affresco   | trigger_capitello_qr.jpg       | sala_affresco_capitello_capitello_qr
NEW          | sala_affresco   | trigger_capitello_museo_2.jpeg | sala_affresco_capitello_capitello_museo_2
NEW          | sala_affresco   | trigger_capitello_museo.jpeg   | sala_affresco_capitello_capitello_museo
NEW          | sala_affresco   | trigger_serliana_museo.jpeg    | sala_affresco_serliana_serliana_museo
NEW          | sala_affresco   | trigger_serliana_2.jpg         | sala_affresco_serliana_serliana_2
NEW          | sala_affresco   | trigger_serliana_1.jpg         | sala_affresco_serliana_serliana_1
NEW          | sala_affresco   | trigger_serliana_qr.jpg        | sala_affresco_serliana_serliana_qr
NEW          | sala_affresco   | trigger_serliana_museo_1.jpeg  | sala_affresco_serliana_serliana_museo_1
NEW          | sala_affresco   | trigger_sala_qr.jpg            | sala_affresco_sala_sala_qr
NEW          | sala_affresco   | trigger_sala_1.jpg             | sala_affresco_sala_sala_1
NEW          | sala_affresco   | trigger_sala_museo_1.jpeg      | sala_affresco_sala_sala_museo_1
NEW          | sala_affresco   | trigger_sala_museo.jpeg        | sala_affresco_sala_sala_museo
NEW          | sala_bagno      | trigger_bagno_qr.jpg           | sala_bagno_bagno_qr
NEW          | sala_bagno      | trigger_bagno_museo.jpeg       | sala_bagno_bagno_museo
NEW          | sala_bagno      | trigger_bagno.jpg              | sala_bagno_bagno
NEW          | sala_bagno      | trigger_bagno_museo_1.jpeg     | sala_bagno_bagno_museo_1
NEW          | sala_bevilacqua | trigger_scarpa_2.jpg           | sala_bevilacqua_scarpa_scarpa_2
NEW          | sala_bevilacqua | trigger_scarpa_1.jpg           | sala_bevilacqua_scarpa_scarpa_1
NEW          | sala_bevilacqua | trigger_scarpa_museo.jpeg      | sala_bevilacqua_scarpa_scarpa_museo
NEW          | sala_bevilacqua | trigger_scarpa_museo_1.jpeg    | sala_bevilacqua_scarpa_scarpa_museo_1
NEW          | sala_bevilacqua | trigger_scarpa_qr.jpg          | sala_bevilacqua_scarpa_scarpa_qr
NEW          | sala_bevilacqua | trigger_sala_qr.jpg            | sala_bevilacqua_sala_sala_qr
NEW          | sala_bevilacqua | trigger_sala_museo_1.jpeg      | sala_bevilacqua_sala_sala_museo_1
NEW          | sala_bevilacqua | trigger_sala_museo.jpeg        | sala_bevilacqua_sala_sala_museo
NEW          | sala_bevilacqua | trigger_camino_1.jpg           | sala_bevilacqua_camino_camino_1
NEW          | sala_bevilacqua | trigger_camino_museo.jpeg      | sala_bevilacqua_camino_camino_museo
